2025-06-10 17:56:52,25
2025-06-10 17:57:13,35
2025-06-10 17:58:04,-10
2025-06-10 18:01:12,12
2025-06-10 18:06:24,23
2025-06-10 18:06:33,43
2025-06-10 18:06:42,10
2025-06-10 18:11:32,15
2025-06-10 18:11:36,18
2025-06-10 18:11:39,22
2025-06-10 18:38:18,28
2025-06-10 19:36:44,15
2025-06-10 19:38:08,15
2025-06-10 19:39:40,15.0
2025-06-10 19:39:50,28.0
2025-06-10 19:39:54,45.0
2025-06-10 19:39:59,21.0
2025-06-10 19:40:02,12.0
2025-06-10 19:40:29,34.0
2025-06-10 19:41:17,16.0
2025-06-10 19:41:21,23.0
2025-06-10 19:41:53,9.0
2025-06-12 17:42:32,24.0
2025-06-12 17:42:37,25.0
2025-06-12 17:42:39,29.0
2025-06-12 18:45:28,35.0
2025-06-12 18:45:33,30.0
2025-06-12 18:45:39,27.0
2025-06-12 18:51:50,32.0
2025-06-12 18:51:52,35.0
2025-06-12 18:51:55,37.0
2025-06-12 18:54:20,34.0
2025-06-12 18:54:22,23.0
2025-06-12 18:54:24,45.0
2025-06-12 18:54:26,12.0
2025-06-12 19:06:18,32.0
2025-06-12 19:06:21,12.0
2025-06-12 19:06:24,24.0
2025-06-12 19:06:27,15.0
2025-06-12 19:13:13,23.0
